"","player_id","player_name","n_win"
"728790","728790","21Jhon Arias Jhon Adolfo Arias Andrade TP728790",49
"164974","164974","9Thiago Rib ... Thiago Ribeiro Cardoso TP164974",48
"173277","173277","11Fernandinho Luiz Fernando Pereir ... TP173277",48
"291380","291380","13Paulo Mira ... Jonathan Doin RP291380",48
"183755","183755","35Danilo Danilo Fernando Avelar TP183755",48
"326622","326622","30Chico Francisco Hyun Sol Kim TP326622",48
"310312","310312","23Hernani Hernani Azevedo Junior RP310312",48
"535421","535421","40Ariel Cabral Alejandro Ariel Cabral RP535421",48
"559270","559270","3Lucho Gonz ... Luis Oscar Gonzalez TP559270",48
"150731","150731","14David França David Franca Oliveir ... RP150731",47
"165198","165198","18Jonathan Jonathan Cicero Moreira TP165198",47
"295557","295557","24Jandrei Jandrei Chitolina Ca... T(g)P295557",47
"166647","166647","33Bruno Bruno Rodrigo Fenelo ... TP166647",47
"178827","178827","2Lucas Lucas Rios Marques TP178827",47
"175560","175560","15Paulo Paulo Roberto da Silva RP175560",47
"354387","354387","38Alex Alex Paulo Menezes S... RP354387",47
"344934","344934","31Igor Igor Matheus Liziero... RP344934",47
"400906","400906","13Jefferson  ... Jefferson Junio Anto... TP400906",47
"464258","464258","37Hélio Junio Helio Junio Nunes de ... RP464258",47
"383384","383384","14Ronald Ronald dos Santos Lopes RP383384",47
"524291","524291","16Abner Abner Vinicius da Si ... RP524291",47
"568013","568013","36Marcos Leo ... Marcos Leonardo Sant ... RP568013",47
"163254","163254","31Edimar Edimar Curitiba Fraga TP163254",46
"173551","173551","13Rodrigo Rodrigo Modesto da S... TP173551",46
"186142","186142","15Alan Alan Santos da Silva RP186142",46
"171547","171547","8Gil Jose Gildeixon Cleme ... TP171547",46
"334559","334559","21Diego Diego Cristiano Evaristo RP334559",46
"307273","307273","26Antonio Ca ... Antonio Carlos Cunha ... RP307273",46
"542337","542337","41Mauricio Mauricio Magalhaes Prado RP542337",46
"534667","534667","11Michael Michael Richard Delg... TP534667",46
"154497","154497","18Andre Lima Andre Luiz Barreto S... RP154497",45
"135687","135687","9Luis Fabiano Luis Fabiano Clemente TP135687",45
"187787","187787","16Dodo Jose Rodolfo Pires R ... TP187787",45
"177010","177010","12Gomes Alex Roberto Santana ... RP177010",45
"177152","177152","3Victor Ramos Victor Ramos Ferreira TP177152",45
